Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
30.800.000,Renault,Sandero,DINAMIQUE AUTOMATICO,2016,31.800 km,5,Gasolina,***700,Grisoscuro,Automáticasecuencial,Hidráulica,4x2,nan,nan,nan
35.800.000,Renault,Sandero,DYNAMIQUE,2019,55.980 km,5,Gasolina,EOV244,GRISESTRELLA,Automática,Asistida,4x2,nan,nan,nan
26.500.000,Renault,Sandero,DYNAMIQUE,2015,60.000 km,4,Gasolina,IEU660,Gris,Automática,Hidráulica,nan,nan,nan,nan
41.000.000,Renault,Sandero,SANDERO EXCLUSIVE,2019,12.000 km,5,Gasolina,FQT445,Gris,Automáticasecuencial,Hidráulica,4x2,nan,nan,nan
21.000.000,Renault,Sandero,"Expression,mecanico,",2012,62.000 km,5,Gasolina,KMS639,nan,Mecánica,nan,nan,nan,nan,nan
24.500.000,Renault,Sandero,GT LINE,2014,69.000 km,5,Gasolina,HGY260,GRISCOMET,Mecánica,Hidráulica,nan,Sí,nan,nan
25.900.000,Renault,Sandero,expression,2016,66.000 km,5,Gasolina,IOQ514,nan,Mecánica,nan,nan,nan,nan,nan
24.500.000,Renault,Sandero,EXPRESSION,2014,74.088 km,5,Gasolina,HNW889,GRISBEIGE,Mecánica,Asistida,4x2,nan,nan,nan
23.900.000,Renault,Sandero,dynamique automa,2013,64.000 km,5,Gasolina,MGV154,nan,Automática,nan,nan,nan,nan,nan
16.700.000,Renault,Sandero,dynamique,2009,155.000 km,4,Gasolina,dbl118,ROJOALMAGRO,Mecánica,Hidráulica,4x2,nan,nan,nan
22.900.000,Renault,Sandero,automático,2012,85.000 km,5,Gasolina,KIL237,nan,Automática,nan,nan,nan,nan,nan
37.900.000,Renault,Sandero,automático,2018,10.500 km,5,Gasolina,jkp330,nan,Automáticasecuencial,nan,nan,nan,nan,nan
24.200.000,Renault,Sandero,EXPRESSIOM,2014,71.445 km,5,Gasolina,MUL162,GRISBEIGE,Mecánica,Asistida,4x2,nan,nan,nan
20.300.000,Renault,Sandero,DINAMIQUE,2010,97.000 km,5,Gasolina,KBQ453,nan,Mecánica,nan,nan,nan,nan,nan
32.900.000,Renault,Sandero,SANDERO LIFE +,2019,19.000 km,5,Gasolina,ENY547,nan,Mecánica,nan,nan,nan,nan,nan
31.950.000,Renault,Sandero,dynamique,2017,20.400 km,5,Gasolina,jbo493,Blanco,Mecánica,Hidráulica,4x2,nan,nan,nan
22.900.000,Renault,Sandero,EXPRESSION 2013,2013,50.000 km,5,Gasolina,MFZ502,nan,Mecánica,nan,nan,nan,nan,nan
19.800.000,Renault,Sandero,Expression,2011,90.000 km,5,Gasolina,KII680,nan,Manual,nan,nan,nan,nan,nan
17.900.000,Renault,Sandero,EXPRESSION,2009,136.000 km,5,Gasolina,MON364,Beige,Manual,Hidráulica,4x2,nan,nan,nan
22.800.000,Renault,Sandero,EXPRESSION MT 1600CC 8V AA,2013,51.000 km,nan,Gasolina,mst755,Gris,Manual,Hidráulica,nan,Sí,1600,4
19.500.000,Renault,Sandero,EXPRESSION,2012,102.000 km,4,Gasolina,KHR262,Gris,Mecánica,nan,nan,nan,nan,nan
17.500.000,Renault,Sandero,Sandero Expresión,2013,58.000 km,4,Gasolina,MFW432,nan,Mecánica,nan,nan,nan,nan,nan
